,Film,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Film ID
133,The Human Comedy,1943,117,"Comedy,Drama,Family",7.0,"2,044",e85d6ec9-cb6f-4daa-bf6d-876b7104b675
134,In Which We Serve,1942,115,"Drama,War",7.2,"5,442",af643708-8af7-43c3-9aeb-26be972a6288
135,Madame Curie,1943,124,"Biography,Drama,Romance",7.2,"2,779",a9dc092c-409a-4d55-a169-b514b7784136
136,The More the Merrier,1943,104,"Comedy,Romance,War",7.7,"6,264",c8d03653-289f-422c-a385-fb2097fd2996
137,The Ox-Bow Incident,1942,75,"Adventure,Drama,Western",8.0,"22,189",5577eaba-960d-452f-a3f3-6a1bc66070a0
138,The Song of Bernadette,1943,156,"Biography,Drama",7.6,"6,554",7b8c91d7-b87f-4871-ad87-dec95f2fd0da
139,Watch on the Rhine,1943,114,"Drama,Thriller",7.3,"4,246",1a4e8a94-150d-484a-8b25-959ab5dfc42e
140,Going My Way,1944,126,"Comedy,Drama,Music",7.1,"11,187",e8c09304-ad53-4c4d-9d08-72b059d37892
141,Double Indemnity,1944,107,"Crime,Drama,Film-Noir",8.3,"149,399",c08eaccc-190e-4e88-bb31-e2a9ddf6f09c
142,Gaslight,1944,114,"Crime,Drama,Mystery",7.8,"26,296",bd1cbfe3-80d9-4c20-81ee-1fcccdd3b2a4
143,Since You Went Away,1944,177,"Drama,Romance,War",7.5,"4,428",8eee9309-2368-44a0-b135-e1d857b03f3a
144,Wilson,1944,154,"Biography,Drama,History",6.4,"1,525",2591f82c-c979-47ab-9974-750661ef6a59
145,The Lost Weekend,1945,101,"Drama,Film-Noir",7.9,"35,261",0b7a2648-33c4-4eed-b40d-86b581f69c9c
146,Anchors Aweigh,1945,140,"Comedy,Fantasy,Music",7.1,"8,298",a9713f3b-472e-4338-bd59-6021b65a9c75
147,The Bells of St. Mary's,1945,126,Drama,7.3,"7,546",f155c808-5944-457e-a02a-a21df320706a
148,Mildred Pierce,1945,111,"Crime,Drama,Film-Noir",8.0,"24,288",6f3cf796-6ae0-4219-84c8-211dd3ec205d
149,Spellbound,1945,111,"Film-Noir,Mystery,Romance",7.5,"46,578",e285e8cf-d49c-48b8-b75f-20dcb3d82804
150,The Best Years of Our Lives,1946,170,"Drama,Romance,War",8.1,"60,810",0d07ce49-6844-4370-b4d7-10d9f02565ba
151,Henry V,1944,137,"Biography,Drama,History",7.1,"6,145",8be23af2-d367-4e60-aae1-77505db9de19
152,It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",8.6,"420,975",d17331c1-4d16-4d92-8718-629629129d7c
153,The Razor's Edge,1946,145,"Drama,Romance",7.4,"5,770",3328143b-a27d-4cfc-b6d8-44086e698a9e
154,The Yearling,1946,128,"Drama,Family,Western",7.2,"5,658",c7fac549-3837-42a5-b768-9312e6104ee9
155,Gentleman's Agreement,1947,118,"Drama,Romance",7.2,"15,593",2de2c926-1509-4aca-bb49-6a2514c7ec7a
156,The Bishop's Wife,1947,109,"Comedy,Drama,Fantasy",7.6,"15,790",785f3b90-b888-4e90-9c85-5f7029845027
157,Crossfire,1947,86,"Crime,Drama,Film-Noir",7.3,"8,030",17e1d9b6-6666-4a83-a898-c1a2472f3cf2
158,Great Expectations,1946,118,"Adventure,Drama,Mystery",7.8,"23,120",17b7b449-345b-4d36-8d67-65597db9d27f
159,Miracle on 34th Street,1947,96,"Comedy,Drama,Family",7.9,"44,012",ef10f104-3bb4-4576-be62-49bd89ffa349
160,Hamlet,1948,154,Drama,7.6,"16,167",443109e2-d3c6-4b1d-9bec-3c732801d861
161,Johnny Belinda,1948,102,Drama,7.8,"4,549",45588422-6266-430e-b2e1-292fbf12e238
162,The Red Shoes,1948,135,"Drama,Music,Romance",8.1,"32,804",75ddd507-9137-452e-b08c-89cbb2297bd8
163,The Snake Pit,1948,108,"Drama,Mystery",7.6,"7,232",894290ac-2b55-458e-b4b6-c5978fc487c7
